water_name,gnis_score,gnis_note,maps_search,gnis_coords_link
Alumni Pond,6,"Good match — Muniz Pond (Lake, Rio Arriba Co.)",https://www.google.com/maps/search/Alumni%20Pond%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.848817,-106.88464"
Aztec Pond #1,4,"Weak match — Atole Pond (Lake, Rio Arriba Co.)",https://www.google.com/maps/search/Aztec%20Pond%20%231%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.875299,-106.941043"
Bataan Lake,8,"Strong match — Tank Lake (Lake, Quay Co.)",https://www.google.com/maps/search/Bataan%20Lake%20New%20Mexico%20fishing,"https://www.google.com/maps?q=35.078247,-103.127361"
Belen Riverside Drain,8,"Strong match — Lower Belen Riverside Drain (Canal, Valencia Co.)",https://www.google.com/maps/search/Belen%20Riverside%20Drain%20New%20Mexico%20fishing,"https://www.google.com/maps?q=34.683392,-106.745304"
Black Canyon,9,"Near-exact — Block Canyon (Stream, Lincoln Co.)",https://www.google.com/maps/search/Black%20Canyon%20New%20Mexico%20fishing,"https://www.google.com/maps?q=33.791186,-105.649985"
Blue Hole Park Pond,8,"Strong match — Blue Hole Pond (Lake, Lincoln Co.)",https://www.google.com/maps/search/Blue%20Hole%20Park%20Pond%20New%20Mexico%20fishing,"https://www.google.com/maps?q=33.453652,-105.752577"
Bonito Creek North Fork,8,"Strong match — Bonito Creek (Stream, Colfax Co.)",https://www.google.com/maps/search/Bonito%20Creek%20North%20Fork%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.375591,-105.034727"
Bonito Creek South Fork,8,"Strong match — Bonito Creek (Stream, Colfax Co.)",https://www.google.com/maps/search/Bonito%20Creek%20South%20Fork%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.375591,-105.034727"
Brazos Lodge Pond,4,"Weak match — Atole Pond (Lake, Rio Arriba Co.)",https://www.google.com/maps/search/Brazos%20Lodge%20Pond%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.875299,-106.941043"
Carlsbad Municipal Lake,8,"Strong match — Municipal Lake (Reservoir, Eddy Co.)",https://www.google.com/maps/search/Carlsbad%20Municipal%20Lake%20New%20Mexico%20fishing,"https://www.google.com/maps?q=32.256786,-104.220499"
Carrizozo Recreation Lake,4,"Weak match — Ridgecrest Reservoir (Reservoir, Bernalillo Co.)",https://www.google.com/maps/search/Carrizozo%20Recreation%20Lake%20New%20Mexico%20fishing,"https://www.google.com/maps?q=35.06791,-106.53899"
Casias Lakes,8,"Strong match — Casaus Lake (Lake, Chaves Co.)",https://www.google.com/maps/search/Casias%20Lakes%20New%20Mexico%20fishing,"https://www.google.com/maps?q=34.045709,-104.804035"
Cebolla River,6,"Good match — Cebolla Creek (Stream, Cibola Co.)",https://www.google.com/maps/search/Cebolla%20River%20New%20Mexico%20fishing,"https://www.google.com/maps?q=34.798102,-107.916446"
Chaparral Park Lake,8,"Strong match — Chaparral Lake (Lake, Cibola Co.)",https://www.google.com/maps/search/Chaparral%20Park%20Lake%20New%20Mexico%20fishing,"https://www.google.com/maps?q=34.697363,-108.651366"
Charette Lake Lower,8,"Strong match — Charette Lake (Lake, Mora Co.)",https://www.google.com/maps/search/Charette%20Lake%20Lower%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.185617,-104.803688"
Cimarron River Gravel Pit Lakes,8,"Strong match — Gravel Pit Lakes (Lake, Colfax Co.)",https://www.google.com/maps/search/Cimarron%20River%20Gravel%20Pit%20Lakes%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.545996,-105.135207"
Clear Creek (Jemez Mts),10,"Exact match — Clear Creek (Stream, Colfax Co.)",https://www.google.com/maps/search/Clear%20Creek%20%28Jemez%20Mts%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.527533,-105.176395"
Conoco Pond,4,"Weak match — China Pond (Reservoir, Hidalgo Co.)",https://www.google.com/maps/search/Conoco%20Pond%20New%20Mexico%20fishing,"https://www.google.com/maps?q=32.033172,-108.740888"
Conservancy Park Lake (Aka Tingley Beach),8,"Strong match — Park Lake (Lake, Guadalupe Co.)",https://www.google.com/maps/search/Conservancy%20Park%20Lake%20%28Aka%20Tingley%20Beach%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=34.940524,-104.678779"
Corona Pond,6,"Good match — China Pond (Reservoir, Hidalgo Co.)",https://www.google.com/maps/search/Corona%20Pond%20New%20Mexico%20fishing,"https://www.google.com/maps?q=32.033172,-108.740888"
Costilla River,6,"Good match — Costilla Creek (Stream, Taos Co.)",https://www.google.com/maps/search/Costilla%20River%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.98082,-105.71751"
Coyote Creek (Nr Guadalupita),10,"Exact match — Coyote Creek (Stream, Rio Arriba Co.)",https://www.google.com/maps/search/Coyote%20Creek%20%28Nr%20Guadalupita%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.99205,-106.92322"
Coyote Creek Pond,8,"Strong match — Coyote Creek (Stream, Rio Arriba Co.)",https://www.google.com/maps/search/Coyote%20Creek%20Pond%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.99205,-106.92322"
Dennis Chaves Pond,4,"Weak match — Los Cuates Pond (Reservoir, Rio Arriba Co.)",https://www.google.com/maps/search/Dennis%20Chaves%20Pond%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.982449,-107.187788"
El Porvenir Creek (2115),6,"Good match — El Poso Creek (Stream, San Miguel Co.)",https://www.google.com/maps/search/El%20Porvenir%20Creek%20%282115%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=35.359771,-104.584431"
El Rito Creek (Trib Of Chama),10,"Exact match — El Rito Creek (Stream, Guadalupe Co.)",https://www.google.com/maps/search/El%20Rito%20Creek%20%28Trib%20Of%20Chama%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=34.925337,-104.683323"
Gallinas Ice Pond,6,"Good match — Gallinas Trick Tank (Reservoir, Socorro Co.)",https://www.google.com/maps/search/Gallinas%20Ice%20Pond%20New%20Mexico%20fishing,"https://www.google.com/maps?q=34.211933,-107.481398"
"Gila River (East, Middle, West Forks)",8,"Strong match — East Fork Gila River (Stream, Grant Co.)",https://www.google.com/maps/search/Gila%20River%20%28East%2C%20Middle%2C%20West%20Forks%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=33.180069,-108.205882"
Glenwood Pond,4,"Weak match — Greenwood Tank (Reservoir, Eddy Co.)",https://www.google.com/maps/search/Glenwood%20Pond%20New%20Mexico%20fishing,"https://www.google.com/maps?q=32.209229,-103.752518"
Grants Municipal Pond (River Walk Pond),4,"Weak match — Juan Vigil Pond (Reservoir, Rio Arriba Co.)",https://www.google.com/maps/search/Grants%20Municipal%20Pond%20%28River%20Walk%20Pond%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.648203,-107.042456"
Greene Acres Lake,6,"Good match — Greene Lake (Reservoir, Curry Co.)",https://www.google.com/maps/search/Greene%20Acres%20Lake%20New%20Mexico%20fishing,"https://www.google.com/maps?q=34.417691,-103.206855"
Grindstone Reservoir,8,"Strong match — Stone Lake (Lake, Union Co.)",https://www.google.com/maps/search/Grindstone%20Reservoir%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.852995,-103.337162"
Guadalupe River,6,"Good match — Guadalupe Arroyo (Stream, De Baca Co.)",https://www.google.com/maps/search/Guadalupe%20River%20New%20Mexico%20fishing,"https://www.google.com/maps?q=34.549788,-104.418869"
Harry Mcadams Park Pond,4,"Weak match — Arroyo Campanero (Arroyo, Rio Arriba Co.)",https://www.google.com/maps/search/Harry%20Mcadams%20Park%20Pond%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.580278,-107.266111"
Hondo River (Lower),8,"Strong match — Hondo (Stream, Chaves Co.)",https://www.google.com/maps/search/Hondo%20River%20%28Lower%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=33.320101,-104.579692"
Jemez River East Fork,8,"Strong match — Jemez River (Stream, Sandoval Co.)",https://www.google.com/maps/search/Jemez%20River%20East%20Fork%20New%20Mexico%20fishing,"https://www.google.com/maps?q=35.369204,-106.514471"
Laguna Del Campo (Burns Lake),8,"Strong match — Laguna del Cerro (Lake, McKinley Co.)",https://www.google.com/maps/search/Laguna%20Del%20Campo%20%28Burns%20Lake%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=35.466403,-107.431926"
Lagunitas Lakes,8,"Strong match — Lagunitas Tank (Reservoir, Rio Arriba Co.)",https://www.google.com/maps/search/Lagunitas%20Lakes%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.878991,-106.3018"
Liam Knight Pond,4,"Weak match — Muniz Pond (Lake, Rio Arriba Co.)",https://www.google.com/maps/search/Liam%20Knight%20Pond%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.848817,-106.88464"
Lost Lake,10,"Exact match — Lost Lake (Lake, Lincoln Co.)",https://www.google.com/maps/search/Lost%20Lake%20New%20Mexico%20fishing,"https://www.google.com/maps?q=33.265906,-105.188892"
Lower Trampas (Aka Lake Ruth),6,"Good match — Lower Camp Tank (Reservoir, Hidalgo Co.)",https://www.google.com/maps/search/Lower%20Trampas%20%28Aka%20Lake%20Ruth%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=32.120356,-108.579316"
Manzano Lake,8,"Strong match — Manzanita Lake (Reservoir, Lincoln Co.)",https://www.google.com/maps/search/Manzano%20Lake%20New%20Mexico%20fishing,"https://www.google.com/maps?q=34.33272,-105.021713"
Maxwell Lake 13,6,"Good match — Caldwell Lake (Lake, Mora Co.)",https://www.google.com/maps/search/Maxwell%20Lake%2013%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.257528,-105.014359"
Mora (Pecos River Drainage),8,"Strong match — Moras Creek (Stream, Colfax Co.)",https://www.google.com/maps/search/Mora%20%28Pecos%20River%20Drainage%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.368091,-104.853053"
Mt View Ponds (Aka Cowles Ponds),4,"Weak match — Martinez Pond (Lake, Rio Arriba Co.)",https://www.google.com/maps/search/Mt%20View%20Ponds%20%28Aka%20Cowles%20Ponds%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.881077,-107.0478"
Ned Houk Ponds,4,"Weak match — Blue Hole Pond (Lake, Lincoln Co.)",https://www.google.com/maps/search/Ned%20Houk%20Ponds%20New%20Mexico%20fishing,"https://www.google.com/maps?q=33.453652,-105.752577"
Nutrias Lakes (Aka Trout Lakes),8,"Strong match — Nutrias Tank (Reservoir, Rio Arriba Co.)",https://www.google.com/maps/search/Nutrias%20Lakes%20%28Aka%20Trout%20Lakes%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.606875,-106.407376"
Oasis Park Lake,8,"Strong match — Park Lake (Lake, Guadalupe Co.)",https://www.google.com/maps/search/Oasis%20Park%20Lake%20New%20Mexico%20fishing,"https://www.google.com/maps?q=34.940524,-104.678779"
Pecos River (Vill Of Pecos - Villanueva),10,"Exact match — Pecos River (Canal, Eddy Co.)",https://www.google.com/maps/search/Pecos%20River%20%28Vill%20Of%20Pecos%20-%20Villanueva%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=32.687615,-104.298013"
Peralta Creek,8,"Strong match — Pedernal Creek (Stream, Union Co.)",https://www.google.com/maps/search/Peralta%20Creek%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.078645,-103.377171"
Peralta Drain,6,"Good match — Fera Drain (Canal, Sierra Co.)",https://www.google.com/maps/search/Peralta%20Drain%20New%20Mexico%20fishing,"https://www.google.com/maps?q=32.820074,-107.309746"
Ralph Edwards Derby,0.0,No GNIS match,https://www.google.com/maps/search/Ralph%20Edwards%20Derby%20New%20Mexico%20fishing,
Rancho Grande Pond,6,"Good match — Rincon Grande Tank (Reservoir, McKinley Co.)",https://www.google.com/maps/search/Rancho%20Grande%20Pond%20New%20Mexico%20fishing,"https://www.google.com/maps?q=35.605682,-107.395993"
Red River City Ponds,8,"Strong match — Red River (Stream, Taos Co.)",https://www.google.com/maps/search/Red%20River%20City%20Ponds%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.6478,-105.693342"
Red River Hatchery Pond,8,"Strong match — Red River (Stream, Taos Co.)",https://www.google.com/maps/search/Red%20River%20Hatchery%20Pond%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.6478,-105.693342"
Red River West Fork,8,"Strong match — Red River (Stream, Taos Co.)",https://www.google.com/maps/search/Red%20River%20West%20Fork%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.6478,-105.693342"
Rio Bonito Lower,8,"Strong match — Rio Bonito (Stream, Lincoln Co.)",https://www.google.com/maps/search/Rio%20Bonito%20Lower%20New%20Mexico%20fishing,"https://www.google.com/maps?q=33.382033,-105.271373"
Rio Bonito Upper,8,"Strong match — Rio Bonito (Stream, Lincoln Co.)",https://www.google.com/maps/search/Rio%20Bonito%20Upper%20New%20Mexico%20fishing,"https://www.google.com/maps?q=33.382033,-105.271373"
Rock Lake Hatchery Kids Ponds (Near Roswell),8,"Strong match — Rock Lake (Lake, Lea Co.)",https://www.google.com/maps/search/Rock%20Lake%20Hatchery%20Kids%20Ponds%20%28Near%20Roswell%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=32.074849,-103.371851"
Roswell Kids Pond,4,"Weak match — Wamels Pond (Reservoir, Grant Co.)",https://www.google.com/maps/search/Roswell%20Kids%20Pond%20New%20Mexico%20fishing,"https://www.google.com/maps?q=31.86525,-108.243438"
Ruidoso River,6,"Good match — Red River (Stream, Taos Co.)",https://www.google.com/maps/search/Ruidoso%20River%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.6478,-105.693342"
San Antonio River,8,"Strong match — San Antonio Creek (Stream, Sandoval Co.)",https://www.google.com/maps/search/San%20Antonio%20River%20New%20Mexico%20fishing,"https://www.google.com/maps?q=35.828079,-106.645035"
San Juan River (Quality),8,"Strong match — Lower San Juan Riverside Drain (Canal, Socorro Co.)",https://www.google.com/maps/search/San%20Juan%20River%20%28Quality%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=34.390065,-106.823081"
Seven Springs Brood Pond,8,"Strong match — Seven Springs (Spring, Bernalillo Co.)",https://www.google.com/maps/search/Seven%20Springs%20Brood%20Pond%20New%20Mexico%20fishing,"https://www.google.com/maps?q=35.076158,-106.409468"
Sipapu Pond,6,"Good match — Paiz Pond (Reservoir, Rio Arriba Co.)",https://www.google.com/maps/search/Sipapu%20Pond%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.807503,-106.852995"
Tajique Creek,8,"Strong match — Atarque Creek (Stream, San Miguel Co.)",https://www.google.com/maps/search/Tajique%20Creek%20New%20Mexico%20fishing,"https://www.google.com/maps?q=35.323108,-103.825247"
Taos Creek (Aka Rio Fernando De Taos),8,"Strong match — Patos Creek (Stream, Lincoln Co.)",https://www.google.com/maps/search/Taos%20Creek%20%28Aka%20Rio%20Fernando%20De%20Taos%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=33.752582,-105.386652"
Tiger Park Pond (Aztec),4,"Weak match — Lower Leavry Pond (Lake, Rio Arriba Co.)",https://www.google.com/maps/search/Tiger%20Park%20Pond%20%28Aztec%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.550014,-107.07076"
Timberon Ponds,6,"Good match — Patterson Pond (Lake, Catron Co.)",https://www.google.com/maps/search/Timberon%20Ponds%20New%20Mexico%20fishing,"https://www.google.com/maps?q=33.877831,-108.447838"
Upper Trampas (Aka Lake Alice),4,"Weak match — Upper Tank (Reservoir, Guadalupe Co.)",https://www.google.com/maps/search/Upper%20Trampas%20%28Aka%20Lake%20Alice%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=35.076233,-104.560751"
Willow Creek (Gila Drainage),10,"Exact match — Willow Creek (Stream, Rio Arriba Co.)",https://www.google.com/maps/search/Willow%20Creek%20%28Gila%20Drainage%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.663348,-106.70476"
Willow Creek (Pecos Drainage),10,"Exact match — Willow Creek (Stream, Rio Arriba Co.)",https://www.google.com/maps/search/Willow%20Creek%20%28Pecos%20Drainage%29%20New%20Mexico%20fishing,"https://www.google.com/maps?q=36.663348,-106.70476"
Young Pond,6,"Good match — Young Tank (Reservoir, Santa Fe Co.)",https://www.google.com/maps/search/Young%20Pond%20New%20Mexico%20fishing,"https://www.google.com/maps?q=35.251927,-105.763625"
